stimulus,target,sound_level,mean_p90_ms,sd_between_runs_ms,n_runs,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_p90_ms_run_01,run_p90_ms_run_02,run_p90_ms_run_03,run_p90_ms_run_04,run_p90_ms_run_05,run_p90_ms_run_06,run_p90_ms_run_07,run_p90_ms_run_08,run_p90_ms_run_09,run_p90_ms_run_10
8 kHz,W1 Trough,50,0.05816316120218571,0.017248639564234922,10,78.0,78.0,78.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0819199453551912,0.05324796448087417,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.05324796448087417,0.05324796448087417,0.0819199453551912,0.0819199453551912,0.05324796448087417
8 kHz,W1 Trough,60,0.08970234016393436,0.016435109285966108,10,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.11878392076502718,0.0819199453551912,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.0819199453551912
8 kHz,W1 Trough,70,0.11550712295081962,0.015662689850094134,10,89.5,89.0,90.0,89.0,89.0,89.0,90.0,90.0,90.0,89.0,90.0,0.09011193989071044,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.0819199453551912,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
8 kHz,W1 Trough,80,0.0409599726775956,0.0,10,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Peak,10,0.11878392076502726,0.023250773342152167,10,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.1638398907103825,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.102399931693989,0.102399931693989,0.1228799180327868,0.0819199453551912,0.102399931693989,0.14335990437158463
8 kHz,W3 Peak,20,0.0819199453551912,0.0,10,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
8 kHz,W3 Peak,30,0.0409599726775956,0.0,10,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Peak,40,0.0409599726775956,0.0,10,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Peak,50,0.0409599726775956,0.0,10,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Peak,60,0.0409599726775956,0.0,10,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Peak,70,0.07536634972677593,0.013816192699676514,10,90.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,90.0,90.0,89.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.049151967213114836,0.0819199453551912,0.0819199453551912,0.049151967213114836
8 kHz,W3 Peak,80,0.0409599726775956,0.0,10,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956
8 kHz,W3 Trough,10,0.2867198087431694,0.038229307832422586,10,16.0,15.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,0.3112957923497267,0.2047998633879781,0.26623982240437155,0.30719979508196715,0.29491180327868843,0.33587177595628415,0.2457598360655737,0.2867198087431693,0.30719979508196715,0.30719979508196715
8 kHz,W3 Trough,20,0.23388144398907101,0.019543816789245855,10,58.0,58.0,58.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,0.2047998633879781,0.2047998633879781,0.2457598360655737,0.21299185792349734,0.2457598360655737,0.22937584699453584,0.2457598360655737,0.25804782786885255,0.2457598360655737,0.2457598360655737
8 kHz,W3 Trough,30,0.18841587431693985,0.021151638938858477,10,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,0.2047998633879781,0.2047998633879781,0.1638398907103825,0.1638398907103825,0.2047998633879781,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.2047998633879781,0.1638398907103825
8 kHz,W3 Trough,40,0.18063347950819672,0.018962889632163596,10,76.0,76.0,76.0,76.0,76.0,76.0,75.0,76.0,76.0,76.0,76.0,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1638398907103825,0.1843198770491803,0.1884158743169402,0.2047998633879781,0.2047998633879781,0.1638398907103825,0.2047998633879781
8 kHz,W3 Trough,50,0.1343487103825137,0.015543216787136271,10,75.0,75.0,75.0,76.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.14745590163934458,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1638398907103825,0.14745590163934458,0.14745590163934458
